TITLE,AUTHOR,FILEPATHS,GENRE
Up For Renewal,['Lucius Daniel'],['./CORPUS/ScienceFiction/51035.txt'],{'Science Fiction'}
The Radio Boys with the Revenue Guards,['Gerald Breckenridge'],['./CORPUS/Adventure/28735.txt'],{'Adventure'}
The Fairy Godmothers and Other Tales,['Mrs. Alfred Gatty'],['./CORPUS/FairyTale/11319.txt'],{'Fairy Tale'}
The Young Pitcher,['Zane Grey'],['./CORPUS/Western/19246.txt'],{'Western'}
A Martian Odyssey,['Stanley Grauman Weinbaum'],['./CORPUS/ScienceFiction/23731.txt'],{'Science Fiction'}
The Dictator,['Milton Lesser'],['./CORPUS/ScienceFiction/32134.txt'],{'Science Fiction'}
The Great Dome on Mercury,['Arthur Leo Zagat'],['./CORPUS/ScienceFiction/29190.txt'],{'Science Fiction'}
Category Phoenix,['Boyd Ellanby'],['./CORPUS/ScienceFiction/32427.txt'],{'Science Fiction'}
Doorstep,['Keith Laumer'],['./CORPUS/ScienceFiction/51509.txt'],{'Science Fiction'}
Chivalry,['James Branch Cabell'],['./CORPUS/Fantasy/11752.txt'],{'Fantasy'}
Industrial Revolution,['Poul William Anderson'],['./CORPUS/ScienceFiction/30971.txt'],{'Science Fiction'}
Red Eve,['H. Rider Haggard'],['./CORPUS/Adventure/3094.txt'],{'Adventure'}
Tom Swift and his Electric Runabout,['Victor Appleton'],['./CORPUS/Adventure/950.txt'],{'Adventure'}
Attention Saint Patrick,['William Fitzgerald Jenkins'],['./CORPUS/ScienceFiction/23439.txt'],{'Science Fiction'}
The Hyborian Age,['Robert E. Howard'],['./CORPUS/ScienceFiction/42182.txt'],{'Science Fiction'}
Hunt the Hunter,['Kris Neville'],['./CORPUS/ScienceFiction/51433.txt'],{'Science Fiction'}
The Plague,['Teddy Keller'],['./CORPUS/ScienceFiction/30062.txt'],{'Science Fiction'}
The Cosmic Computer,['Henry Beam Piper'],['./CORPUS/ScienceFiction/20727.txt'],{'Science Fiction'}
Folk Tales Every Child Should Know,['Various'],['./CORPUS/FairyTale/15164.txt'],{'Fairy Tale'}
All Day September,['Roger Kuykendall'],['./CORPUS/ScienceFiction/24161.txt'],{'Science Fiction'}
The Point of View,['Stanley Grauman Weinbaum'],['./CORPUS/ScienceFiction/22895.txt'],{'Science Fiction'}
The Beasts in the Void,['Paul W. Fairman'],['./CORPUS/ScienceFiction/32162.txt'],{'Science Fiction'}
Dream Town,['Henry Slesar'],['./CORPUS/ScienceFiction/29193.txt'],{'Science Fiction'}
The Invader,['Alfred Coppel'],['./CORPUS/ScienceFiction/32684.txt'],{'Science Fiction'}
Breakdown,['Herbert D. Kastle'],['./CORPUS/ScienceFiction/51662.txt'],{'Science Fiction'}
B-12's Moon Glow,['Charles A. Stearns'],['./CORPUS/ScienceFiction/31364.txt'],{'Science Fiction'}
The Road to Oz,['L. Frank Baum'],['./CORPUS/Fantasy/485.txt'],{'Fantasy'}
The Universe -- or Nothing,['Meyer Moldeven'],['./CORPUS/ScienceFiction/18257.txt'],{'Science Fiction'}
Earth Alert!,['Kris Neville'],['./CORPUS/ScienceFiction/33642.txt'],{'Science Fiction'}
The Kenzie Report,['Mark Clifton'],['./CORPUS/ScienceFiction/32131.txt'],{'Science Fiction'}
The Martian,['Allen Glasser'],['./CORPUS/ScienceFiction/40992.txt'],{'Science Fiction'}
Affair in Araby,['Talbot Mundy'],['./CORPUS/Adventure/10551.txt'],{'Adventure'}
Beyond Bedlam,['Wyman Guin'],['./CORPUS/ScienceFiction/51842.txt'],{'Science Fiction'}
Youth,['Isaac Asimov'],['./CORPUS/ScienceFiction/31547.txt'],{'Science Fiction'}
Foundling on Venus,['John de Courcy'],['./CORPUS/ScienceFiction/29181.txt'],{'Science Fiction'}
Laughing Bill Hyde and Other Stories,['Rex Beach'],['./CORPUS/Western/11501.txt'],{'Western'}
Appointment In Tomorrow,['Fritz Leiber'],['./CORPUS/ScienceFiction/51152.txt'],{'Science Fiction'}
Not Fit for Children,['Evelyn E. Smith'],['./CORPUS/ScienceFiction/50872.txt'],{'Science Fiction'}
Duel on Syrtis,['Poul William Anderson'],['./CORPUS/ScienceFiction/32436.txt'],{'Science Fiction'}
An Outcast of the Islands,['Joseph Conrad'],['./CORPUS/Adventure/638.txt'],{'Adventure'}
Stopover,['William Gerken'],['./CORPUS/ScienceFiction/28450.txt'],{'Science Fiction'}
Rescue Squad,"[""Thomas J. O'Hara""]",['./CORPUS/ScienceFiction/29822.txt'],{'Science Fiction'}
Kidnapped,['Robert Louis Stevenson'],['./CORPUS/Adventure/421.txt'],{'Adventure'}
The Hand in the Dark,['Arthur J. Rees'],['./CORPUS/CrimeMystery/20546.txt'],{'Crime and Mystery'}
Amateur in Chancery,['George O. Smith'],['./CORPUS/ScienceFiction/51681.txt'],{'Science Fiction'}
The Air of Castor Oil,['Jim Harmon'],['./CORPUS/ScienceFiction/51688.txt'],{'Science Fiction'}
Heart of the Sunset,['Rex Beach'],['./CORPUS/Western/5099.txt'],{'Western'}
The Carnivore,['G.A. Morris'],['./CORPUS/ScienceFiction/30044.txt'],{'Science Fiction'}
Almayer's Folly,['Joseph Conrad'],['./CORPUS/Adventure/720.txt'],{'Adventure'}
Star Hunter,['Andre Alice Norton'],['./CORPUS/ScienceFiction/19090.txt'],{'Science Fiction'}
Kim,['Rudyard Kipling'],['./CORPUS/Adventure/2226.txt'],{'Adventure'}
Warm,['Robert Sheckley'],['./CORPUS/ScienceFiction/29509.txt'],{'Science Fiction'}
Nice Girl With 5 Husbands,['Fritz Leiber'],['./CORPUS/ScienceFiction/51101.txt'],{'Science Fiction'}
The Mystery Of The Boule Cabinet,['Burton Egbert Stevenson'],['./CORPUS/CrimeMystery/10067.txt'],{'Crime and Mystery'}
Star Surgeon,['Alan Nourse'],['./CORPUS/ScienceFiction/18492.txt'],{'Science Fiction'}
The Wood Beyond the World,['William Morris'],['./CORPUS/Fantasy/3055.txt'],{'Fantasy'}
Conditionally Human,['Walter M. Miller'],['./CORPUS/ScienceFiction/51651.txt'],{'Science Fiction'}
What The Left Hand Was Doing,['Gordon Randall Garrett'],['./CORPUS/ScienceFiction/25166.txt'],{'Science Fiction'}
The Mind Master,['Arthur J. Burks'],['./CORPUS/ScienceFiction/29416.txt'],{'Science Fiction'}
Disturbing Sun,['Robert Shirley Richardson'],['./CORPUS/ScienceFiction/24150.txt'],{'Science Fiction'}
Upstarts,['L.J. Stecher'],['./CORPUS/ScienceFiction/27492.txt'],{'Science Fiction'}
Homesick,['Lyn Venable'],['./CORPUS/ScienceFiction/29599.txt'],{'Science Fiction'}
The Man Outside,['Evelyn E. Smith'],['./CORPUS/ScienceFiction/51337.txt'],{'Science Fiction'}
Ten Years Later,"['Alexandre Dumas', 'Pere']",['./CORPUS/Adventure/2681.txt'],{'Adventure'}
All Cats Are Gray,['Andre Alice Norton'],['./CORPUS/ScienceFiction/29019.txt'],{'Science Fiction'}
Pirates of the Gorm,['Nat Schachner'],['./CORPUS/ScienceFiction/29299.txt'],{'Science Fiction'}
Tik-Tok of Oz,['L. Frank Baum'],['./CORPUS/Fantasy/956.txt'],{'Fantasy'}
The Research Magnificent,['H.G. Wells'],['./CORPUS/ScienceFiction/1138.txt'],{'Science Fiction'}
Garrity's Annuities,['David Mason'],['./CORPUS/ScienceFiction/50981.txt'],{'Science Fiction'}
Casey Ryan,['B.M. Bower'],['./CORPUS/Western/12495.txt'],{'Western'}
Final Weapon,['Everett B. Cole'],['./CORPUS/ScienceFiction/24723.txt'],{'Science Fiction'}
Lex,['W.T. Haggert'],['./CORPUS/ScienceFiction/51362.txt'],{'Science Fiction'}
Droozle,['Frank Banta'],['./CORPUS/ScienceFiction/23148.txt'],{'Science Fiction'}
The Monster Men,['Edgar Rice Burroughs'],['./CORPUS/ScienceFiction/96.txt'],{'Science Fiction'}
"The Stars, My Brothers",['Edmond Hamilton'],['./CORPUS/ScienceFiction/24870.txt'],{'Science Fiction'}
Operation: Outer Space,['William Fitzgerald Jenkins'],['./CORPUS/ScienceFiction/18361.txt'],{'Science Fiction'}
Tom Swift and his Electric Rifle,['Victor Appleton'],['./CORPUS/Adventure/3777.txt'],{'Adventure'}
The Misplaced Battleship,['Harry Harrison'],['./CORPUS/ScienceFiction/22541.txt'],{'Science Fiction'}
The World Beyond,['Raymond King Cummings'],['./CORPUS/ScienceFiction/29059.txt'],{'Science Fiction'}
Felony,['James Causey'],['./CORPUS/ScienceFiction/31922.txt'],{'Science Fiction'}
Tales of Three Hemispheres,['Lord Dunsany'],['./CORPUS/Fantasy/11440.txt'],{'Fantasy'}
The Return,['Walter de la Mare'],['./CORPUS/Horror/3075.txt'],{'Horror'}
Luna Escapade,['H.B. Fyfe'],['./CORPUS/ScienceFiction/40961.txt'],{'Science Fiction'}
The Ivory Trail,['Talbot Mundy'],['./CORPUS/Adventure/5194.txt'],{'Adventure'}
Uller Uprising,"['Henry Beam Piper', 'John D. Clark', 'John F. Carr']",['./CORPUS/ScienceFiction/19474.txt'],{'Science Fiction'}
The Awakening,['Jack Sharkey'],['./CORPUS/ScienceFiction/50834.txt'],{'Science Fiction'}
Captain Blood,['Rafael Sabatini'],['./CORPUS/Adventure/1965.txt'],{'Adventure'}
The Dunwich Horror,['H.P. Lovecraft'],['./CORPUS/ScienceFiction/50133.txt'],{'Science Fiction'}
Slaves of Mercury,['Nat Schachner'],['./CORPUS/ScienceFiction/29966.txt'],{'Science Fiction'}
Join Our Gang?,['Sterling E. Lanier'],['./CORPUS/ScienceFiction/29987.txt'],{'Science Fiction'}
She,['H. Rider Haggard'],['./CORPUS/Adventure/3155.txt'],{'Adventure'}
In the Irish Brigade,['G.A. Henty'],['./CORPUS/Adventure/18349.txt'],{'Adventure'}
Don't Look Now,['Leonard Rubin'],['./CORPUS/ScienceFiction/51740.txt'],{'Science Fiction'}
Anything You Can Do ...,['Gordon Randall Garrett'],['./CORPUS/ScienceFiction/24436.txt'],{'Science Fiction'}
Far from Home,['J.A. Taylor'],['./CORPUS/ScienceFiction/23408.txt'],{'Science Fiction'}
"Holes, Incorporated",['L. Major Reynolds'],['./CORPUS/ScienceFiction/30468.txt'],{'Science Fiction'}
"A Connecticut Yankee in King Arthur's Court, Part 3.",['Mark Twain'],"['./CORPUS/ScienceFiction/7244.txt', './CORPUS/Fantasy/7244.txt']","{'Science Fiction', 'Fantasy'}"
Each Man Kills,['Victoria Glad'],['./CORPUS/ScienceFiction/23301.txt'],{'Science Fiction'}
The Ultimate Experiment,['Thornton DeKy'],['./CORPUS/ScienceFiction/22466.txt'],{'Science Fiction'}
My Fair Planet,['Evelyn E. Smith'],['./CORPUS/ScienceFiction/31648.txt'],{'Science Fiction'}
Man in a Sewing Machine,['L.J. Stecher'],['./CORPUS/ScienceFiction/50936.txt'],{'Science Fiction'}
The Hollow Needle,['Maurice Leblanc'],['./CORPUS/CrimeMystery/4017.txt'],{'Crime and Mystery'}
First Lensman,['Edward Elmer Smith'],"['./CORPUS/Adventure/49525.txt', './CORPUS/ScienceFiction/49525.txt']","{'Adventure', 'Science Fiction'}"
One Martian Afternoon,['Tom Leahy'],['./CORPUS/ScienceFiction/29975.txt'],{'Science Fiction'}
Skin Game,['Charles E. Fritch'],['./CORPUS/ScienceFiction/31665.txt'],{'Science Fiction'}
Morale,['Murray Leinster'],['./CORPUS/ScienceFiction/20920.txt'],{'Science Fiction'}
Growing Up On Big Muddy,['Charles V. de Vet'],['./CORPUS/ScienceFiction/51398.txt'],{'Science Fiction'}
Child Christopher,['William Morris'],['./CORPUS/Fantasy/234.txt'],{'Fantasy'}
The Coming of the Ice,['G. Peyton Wertenbaker'],['./CORPUS/ScienceFiction/26967.txt'],{'Science Fiction'}
Dr. Kometevsky's Day,['Fritz Leiber'],['./CORPUS/ScienceFiction/51353.txt'],{'Science Fiction'}
The Man Who Hated Mars,['Gordon Randall Garrett'],['./CORPUS/ScienceFiction/25644.txt'],{'Science Fiction'}
A Slave is a Slave,['Henry Beam Piper'],['./CORPUS/ScienceFiction/20726.txt'],{'Science Fiction'}
Prester John,['John Buchan'],['./CORPUS/Adventure/611.txt'],{'Adventure'}
The Eagle's Shadow,['James Branch Cabell'],['./CORPUS/Fantasy/10882.txt'],{'Fantasy'}
He Walked Around the Horses,['Henry Beam Piper'],['./CORPUS/ScienceFiction/18807.txt'],{'Science Fiction'}
This Crowded Earth,['Robert Bloch'],['./CORPUS/ScienceFiction/25776.txt'],{'Science Fiction'}
In the Fog,['Richard Harding Davis'],['./CORPUS/CrimeMystery/7884.txt'],{'Crime and Mystery'}
King--of the Khyber Rifles,['Talbot Mundy'],['./CORPUS/Adventure/6066.txt'],{'Adventure'}
Eight Keys to Eden,['Mark Irvin Clifton'],['./CORPUS/ScienceFiction/27595.txt'],{'Science Fiction'}
Raffles,['E.W. Hornung'],['./CORPUS/CrimeMystery/707.txt'],{'Crime and Mystery'}
Keep Out,['Fredric Brown'],['./CORPUS/ScienceFiction/29142.txt'],{'Science Fiction'}
The Radio Boys on Secret Service Duty,['Gerald Breckenridge'],['./CORPUS/Adventure/39574.txt'],{'Adventure'}
Tom Swift among the Fire Fighters,['Victor Appleton'],['./CORPUS/Adventure/1363.txt'],{'Adventure'}
"Say ""Hello"" for Me",['Frank W. Coggins'],['./CORPUS/ScienceFiction/30382.txt'],{'Science Fiction'}
The Cave of Gold,['Everett McNeil'],['./CORPUS/Western/20126.txt'],{'Western'}
The Silver Menace,['Murray Leinster'],['./CORPUS/ScienceFiction/50622.txt'],{'Science Fiction'}
Armageddon--2419 A.D.,['Philip Francis Nowlan'],['./CORPUS/ScienceFiction/32530.txt'],{'Science Fiction'}
The Fairy Book,['Dinah Maria Mulock'],['./CORPUS/FairyTale/19734.txt'],{'Fairy Tale'}
At the Earth's Core,['Edgar Rice Burroughs'],"['./CORPUS/Adventure/123.txt', './CORPUS/ScienceFiction/123.txt']","{'Adventure', 'Science Fiction'}"
Bones,['Edgar Wallace'],['./CORPUS/Adventure/24450.txt'],{'Adventure'}
Colonel Thorndyke's Secret,['G.A. Henty'],"['./CORPUS/Adventure/8155.txt', './CORPUS/CrimeMystery/8155.txt']","{'Adventure', 'Crime and Mystery'}"
Rip Foster in Ride the Gray Planet,['Harold Leland Goodwin'],['./CORPUS/ScienceFiction/18139.txt'],{'Science Fiction'}
Old Friends Are the Best,['Jack Sharkey'],['./CORPUS/ScienceFiction/33871.txt'],{'Science Fiction'}
Cliges: A Romance,['Chretien de Troyes'],['./CORPUS/Fantasy/2414.txt'],{'Fantasy'}
The Putnam Tradition,['Sonya Hess Dorman'],['./CORPUS/ScienceFiction/26743.txt'],{'Science Fiction'}
Oberheim (Voices),['Christopher Leadem'],['./CORPUS/ScienceFiction/13841.txt'],{'Science Fiction'}
No Hero,['E.W. Hornung'],['./CORPUS/CrimeMystery/11153.txt'],{'Crime and Mystery'}
Men of Iron,['Howard Pyle'],['./CORPUS/Fantasy/1557.txt'],{'Fantasy'}
"Thuvia, Maid of Mars",['Edgar Rice Burroughs'],"['./CORPUS/ScienceFiction/72.txt', './CORPUS/Fantasy/72.txt']","{'Science Fiction', 'Fantasy'}"
The Marvellous Land of Oz,['L. Frank Baum'],['./CORPUS/Fantasy/54.txt'],{'Fantasy'}
People Minus X,['Raymond Zinke Gallun'],['./CORPUS/ScienceFiction/50063.txt'],{'Science Fiction'}
The Semantic War,['Bill Clothier'],['./CORPUS/ScienceFiction/51153.txt'],{'Science Fiction'}
The Lost Heir,['G.A. Henty'],['./CORPUS/Adventure/36975.txt'],{'Adventure'}
A Scientist Rises,['Desmond Winter Hall'],['./CORPUS/ScienceFiction/27464.txt'],{'Science Fiction'}
Turning Point,['Alfred Coppel'],['./CORPUS/ScienceFiction/32104.txt'],{'Science Fiction'}
A Place so Foreign,['Cory Doctorow'],['./CORPUS/ScienceFiction/16721.txt'],{'Science Fiction'}
The Players,['Everett B. Cole'],['./CORPUS/ScienceFiction/22426.txt'],{'Science Fiction'}
R. Holmes & Co.,['John Kendrick Bangs'],['./CORPUS/CrimeMystery/20559.txt'],{'Crime and Mystery'}
Search the Sky,['Frederik Pohl'],"['./CORPUS/Adventure/52228.txt', './CORPUS/ScienceFiction/52228.txt']","{'Adventure', 'Science Fiction'}"
The Planet Strappers,['Raymond Zinke Gallun'],['./CORPUS/ScienceFiction/25067.txt'],{'Science Fiction'}
Dead Men's Money,['J.S. Fletcher'],['./CORPUS/CrimeMystery/12239.txt'],{'Crime and Mystery'}
Pariah Planet,['Murray Leinster'],['./CORPUS/ScienceFiction/29448.txt'],{'Science Fiction'}
Hopalong Cassidy's Rustler Round-Up,['Clarence Edward Mulford'],['./CORPUS/Western/2546.txt'],{'Western'}
The Chamber of Life,['Green Peyton Wertenbaker'],['./CORPUS/ScienceFiction/25862.txt'],{'Science Fiction'}
The Green Odyssey,['Philip José Farmer'],"['./CORPUS/Adventure/50571.txt', './CORPUS/ScienceFiction/50571.txt']","{'Adventure', 'Science Fiction'}"
The Fourth Invasion,['Henry Josephs'],['./CORPUS/ScienceFiction/23099.txt'],{'Science Fiction'}
Fresh Air Fiend,['Kris Neville'],['./CORPUS/ScienceFiction/51335.txt'],{'Science Fiction'}
The Lodger,['Marie Belloc Lowndes'],['./CORPUS/CrimeMystery/2014.txt'],{'Crime and Mystery'}
The Four-Faced Visitors of Ezekiel,['Arthur W. Orton'],['./CORPUS/ScienceFiction/30252.txt'],{'Science Fiction'}
The Redheaded Outfield and Other Baseball Stories,['Zane Grey'],['./CORPUS/Western/385.txt'],{'Western'}
Tom Cringle's Log,['Michael Scott'],['./CORPUS/Adventure/7281.txt'],{'Adventure'}
The Book of All-Power,['Edgar Wallace'],['./CORPUS/Adventure/24920.txt'],{'Adventure'}
Star Performer,['Robert J. Shea'],['./CORPUS/ScienceFiction/31736.txt'],{'Science Fiction'}
The Book,['Michael Shaara'],['./CORPUS/ScienceFiction/32321.txt'],{'Science Fiction'}
Proof of the Pudding,['Robert Sheckley'],['./CORPUS/ScienceFiction/50844.txt'],{'Science Fiction'}
Twenty Years After,"['Alexandre Dumas', 'Pere']",['./CORPUS/Adventure/1259.txt'],{'Adventure'}
Vanishing Point,['C.C. Beck'],['./CORPUS/ScienceFiction/23868.txt'],{'Science Fiction'}
Love Under Fire,['Randall Parrish'],['./CORPUS/Romance/12015.txt'],{'Romance'}
Vigorish,['Gordon Randall Garrett'],['./CORPUS/ScienceFiction/24382.txt'],{'Science Fiction'}
The Skull,['Philip K. Dick'],['./CORPUS/ScienceFiction/30255.txt'],{'Science Fiction'}
Operation Distress,['Lester del Rey'],['./CORPUS/ScienceFiction/51168.txt'],{'Science Fiction'}
Planet of Dreams,['James McKimmey'],['./CORPUS/ScienceFiction/30045.txt'],{'Science Fiction'}
Innocent At Large,['Poul Anderson'],['./CORPUS/ScienceFiction/51650.txt'],{'Science Fiction'}
Kazan,['James Oliver Curwood'],['./CORPUS/Adventure/10084.txt'],{'Adventure'}
Flamedown,['Horace Brown Fyfe'],['./CORPUS/ScienceFiction/29936.txt'],{'Science Fiction'}
The Machine That Saved The World,['William Fitzgerald Jenkins'],['./CORPUS/ScienceFiction/26174.txt'],{'Science Fiction'}
"Astounding Stories, May, 1931",['Various'],['./CORPUS/ScienceFiction/30532.txt'],{'Science Fiction'}
Child of Storm,['H. Rider Haggard'],['./CORPUS/Adventure/1711.txt'],{'Adventure'}
Tulan,['Carroll Mather Capps'],['./CORPUS/ScienceFiction/27968.txt'],{'Science Fiction'}
The Golden Spears,['Edmund Leamy'],['./CORPUS/FairyTale/22168.txt'],{'Fairy Tale'}
The Shunned House,['Howard Phillips Lovecraft'],"['./CORPUS/ScienceFiction/31469.txt', './CORPUS/Horror/31469.txt']","{'Science Fiction', 'Horror'}"
A Filbert Is a Nut,['Rick Raphael'],['./CORPUS/ScienceFiction/23588.txt'],{'Science Fiction'}
The Crock of Gold,['James Stephens'],['./CORPUS/Fantasy/1605.txt'],{'Fantasy'}
The Addicts,['William Morrison'],['./CORPUS/ScienceFiction/51240.txt'],{'Science Fiction'}
Business For the Lawyers,['Ralph Robin'],['./CORPUS/ScienceFiction/49767.txt'],{'Science Fiction'}
Sentry Of The Sky,['Evelyn E. Smith'],['./CORPUS/ScienceFiction/51867.txt'],{'Science Fiction'}
The Devolutionist and The Emancipatrix,['Homer Eon Flint'],['./CORPUS/ScienceFiction/5965.txt'],{'Science Fiction'}
The Big Bounce,['Walter S. Tevis'],['./CORPUS/ScienceFiction/23153.txt'],{'Science Fiction'}
The Rayner-Slade Amalgamation,['J.S. Fletcher'],['./CORPUS/CrimeMystery/10443.txt'],{'Crime and Mystery'}
I Was a Teen-Age Secret Weapon,['Richard Sabia'],['./CORPUS/ScienceFiction/23591.txt'],{'Science Fiction'}
Stairway to the Stars,['Larry Shaw'],['./CORPUS/ScienceFiction/23159.txt'],{'Science Fiction'}
With These Hands,['C.M. Kornbluth'],['./CORPUS/ScienceFiction/51531.txt'],{'Science Fiction'}
Exploiter's End,['James Causey'],['./CORPUS/ScienceFiction/40970.txt'],{'Science Fiction'}
The Day Time Stopped Moving,['Bradner Buckner'],['./CORPUS/ScienceFiction/27053.txt'],{'Science Fiction'}
Baron Trigault's Vengeance,['Emile Gaboriau'],['./CORPUS/CrimeMystery/547.txt'],{'Crime and Mystery'}
And Then the Town Took Off,['Richard Wilson'],['./CORPUS/ScienceFiction/42111.txt'],{'Science Fiction'}
The Wonder,['J.D. Beresford'],['./CORPUS/ScienceFiction/27188.txt'],{'Science Fiction'}
The Big Engine,['Fritz Leiber'],['./CORPUS/ScienceFiction/51549.txt'],{'Science Fiction'}
Falling in Love,['Grant Allen'],['./CORPUS/Romance/16807.txt'],{'Romance'}
The Undersea Tube,['L. Taylor Hansen'],['./CORPUS/ScienceFiction/27609.txt'],{'Science Fiction'}
A Husband for My Wife,['William W. Stuart'],['./CORPUS/ScienceFiction/51460.txt'],{'Science Fiction'}
Med Ship Man,['Murray Leinster'],['./CORPUS/ScienceFiction/50999.txt'],{'Science Fiction'}
Now We Are Three,['Joe L. Hensley'],['./CORPUS/ScienceFiction/29290.txt'],{'Science Fiction'}
The Issahar Artifacts,['Jesse Franklin Bone'],['./CORPUS/ScienceFiction/29271.txt'],{'Science Fiction'}
The Next Logical Step,['Benjamin William Bova'],['./CORPUS/ScienceFiction/28063.txt'],{'Science Fiction'}
Animal Ghosts,"[""Elliott O'Donnell""]",['./CORPUS/Horror/18233.txt'],{'Horror'}
Good Indian,['B.M. Bower'],['./CORPUS/Western/938.txt'],{'Western'}
The Hoofer,['Walter M. Miller'],['./CORPUS/ScienceFiction/29170.txt'],{'Science Fiction'}
The Mystery of the Sea,['Bram Stoker'],['./CORPUS/Adventure/42455.txt'],{'Adventure'}
The Orange-Yellow Diamond,['J.S. Fletcher'],['./CORPUS/CrimeMystery/9297.txt'],{'Crime and Mystery'}
Greylorn,['John Keith Laumer'],['./CORPUS/ScienceFiction/23028.txt'],{'Science Fiction'}
Novice,['James H. Schmitz'],['./CORPUS/ScienceFiction/30458.txt'],{'Science Fiction'}
Romance,"['Joseph Conrad', 'F.M. Hueffer']",['./CORPUS/Adventure/17642.txt'],{'Adventure'}
Assignment's End,['Roger Dee'],['./CORPUS/ScienceFiction/32209.txt'],{'Science Fiction'}
Toy Shop,['Henry Maxwell Dempsey'],['./CORPUS/ScienceFiction/22966.txt'],{'Science Fiction'}
Mizora: A Prophecy,['Mary E. Bradley'],['./CORPUS/ScienceFiction/24750.txt'],{'Science Fiction'}
The Stuff,['Henry Slesar'],['./CORPUS/ScienceFiction/51574.txt'],{'Science Fiction'}
Hunter Quatermain's Story,['H. Rider Haggard'],['./CORPUS/Adventure/2728.txt'],{'Adventure'}
The Man of the Forest,['Zane Grey'],['./CORPUS/Western/3457.txt'],{'Western'}
Man and Wife,['Wilkie Collins'],['./CORPUS/CrimeMystery/1586.txt'],{'Crime and Mystery'}
Zehru of Xollar,['Hal K. Wells'],['./CORPUS/ScienceFiction/26917.txt'],{'Science Fiction'}
A Honeymoon in Space,['George Griffith'],['./CORPUS/ScienceFiction/19476.txt'],{'Science Fiction'}
Empire,['Clifford Donald Simak'],"['./CORPUS/Adventure/28215.txt', './CORPUS/ScienceFiction/28215.txt']","{'Adventure', 'Science Fiction'}"
The Gloved Hand,['Burton E. Stevenson'],['./CORPUS/CrimeMystery/13372.txt'],{'Crime and Mystery'}
Revolution,['Dallas McCord Reynolds'],['./CORPUS/ScienceFiction/23929.txt'],{'Science Fiction'}
Cow-Country,['B.M. Bower'],['./CORPUS/Western/1723.txt'],{'Western'}
Tom Swift and his Motor-cycle,['Victor Appleton'],['./CORPUS/Adventure/4230.txt'],{'Adventure'}
The Copper-Clad World,['Harl Vincent'],['./CORPUS/ScienceFiction/28883.txt'],{'Science Fiction'}
Percival Keene,['Frederick Marryat'],['./CORPUS/Adventure/21572.txt'],{'Adventure'}
Operation Earthworm,['Joe Archibald'],['./CORPUS/ScienceFiction/29303.txt'],{'Science Fiction'}
Planet of Dread,['Murray Leinster'],['./CORPUS/ScienceFiction/43046.txt'],{'Science Fiction'}
Tom Swift and his Air Scout,['Victor Appleton'],['./CORPUS/Adventure/1284.txt'],{'Adventure'}
The Moon Destroyers,['Monroe K. Ruch'],['./CORPUS/ScienceFiction/41029.txt'],{'Science Fiction'}
The Sleuth of St. James's Square,['Melville Davisson Post'],['./CORPUS/CrimeMystery/2861.txt'],{'Crime and Mystery'}
Sinister Paradise,['Robert Moore Williams'],['./CORPUS/ScienceFiction/32359.txt'],{'Science Fiction'}
Rastignac the Devil,['Philip Jose Farmer'],['./CORPUS/ScienceFiction/31262.txt'],{'Science Fiction'}
The Jewel of Seven Stars,['Bram Stoker'],['./CORPUS/Horror/3781.txt'],{'Horror'}
The Alien,['Raymond F. Jones'],['./CORPUS/ScienceFiction/50783.txt'],{'Science Fiction'}
Tom Swift and his Photo Telephone,['Victor Appleton'],['./CORPUS/Adventure/4532.txt'],{'Adventure'}
"Chip, of the Flying U",['B.M. Bower'],['./CORPUS/Western/9267.txt'],{'Western'}
The Red Hell of Jupiter,['Paul Ernst'],['./CORPUS/ScienceFiction/30214.txt'],{'Science Fiction'}
Craphound,['Cory Doctorow'],['./CORPUS/ScienceFiction/17026.txt'],{'Science Fiction'}
The Sea Lady,['Herbert George Wells'],"['./CORPUS/ScienceFiction/35920.txt', './CORPUS/Fantasy/35920.txt']","{'Science Fiction', 'Fantasy'}"
Vital Ingredient,['Gerald Vance'],['./CORPUS/ScienceFiction/27797.txt'],{'Science Fiction'}
A Little Journey,['Ray Bradbury'],['./CORPUS/ScienceFiction/51171.txt'],{'Science Fiction'}
The Death-Traps of FX-31,['Sewell Peaslee Wright'],['./CORPUS/ScienceFiction/29309.txt'],{'Science Fiction'}
The Oriental Story Book,['Wilhelm Hauff'],['./CORPUS/FairyTale/24593.txt'],{'Fairy Tale'}
Control Group,['Roger Dee'],['./CORPUS/ScienceFiction/24949.txt'],{'Science Fiction'}
The Doorway,['Evelyn E. Smith'],['./CORPUS/ScienceFiction/29138.txt'],{'Science Fiction'}
Tom Swift Among The Diamond Makers,['Victor Appleton'],['./CORPUS/Adventure/1282.txt'],{'Adventure'}
The Lure of the Dim Trails,['B.M. Bower'],['./CORPUS/Western/1014.txt'],{'Western'}
Meeting of the Board,['Alan Edward Nourse'],['./CORPUS/ScienceFiction/22867.txt'],{'Science Fiction'}
The Thunder Bird,['B.M. Bower'],['./CORPUS/Western/14486.txt'],{'Western'}
Robin Hood,['J. Walker McSpadden'],['./CORPUS/Fantasy/832.txt'],{'Fantasy'}
Decision,['Frank M. Robinson'],['./CORPUS/ScienceFiction/29680.txt'],{'Science Fiction'}
